Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
25942967,Whipping Girl: A Transsexual Woman on Sexism and the Scapegoating of Femininity,Julia Serano,"Serano, Julia",,"=""1580056229""","=""9781580056229""",0,4.18,Seal Press,Paperback,424,2016,2007,,2017/06/03,currently-reading,currently-reading (#3),currently-reading,,,,0,,,0,,,,,
6617037,"Debt: The First 5,000 Years",David Graeber,"Graeber, David",,"=""1933633867""","=""9781933633862""",0,4.17,Melville House Publishing,Hardcover,534,2011,2011,,2017/06/03,currently-reading,currently-reading (#2),currently-reading,,,,0,,,0,,,,,
9578127,"Beyond Inclusion, Beyond Empowerment: A Developmental Strategy To Liberate Everyone",Leticia Nieto,"Nieto, Leticia","Margot F. Boyer, Liz Goodwin, Garth R. Johnson, Laurel Collier Smith","=""0976611201""","=""9780976611202""",0,4.47,Cuetzpalin,Paperback,319,2010,2010,,2017/06/03,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
25571952,Unstoppable: Harnessing Science to Change the World,Bill  Nye,"Nye, Bill",,"=""1250007143""","=""9781250007148""",5,4.20,St. Martin's Press,Hardcover,341,2015,2015,2017/04/14,2017/04/27,,,read,"Holy cow y'all, my childhood hero Bill Nye writes books for adults now! And he read the audiobook version himself and he sounds exactly the same, it was such a treat to listen to.<br/><br/>I highly recommend pairing this book with This Changes Everything by Naomi Klein, I read them back to back and the contrasts are valuable. Bill Nye is a tech geek and I could so relate to a lot of what he got excited about, but having just read Klein's book I found his absolute faith in technical solutions to be a tad overly optimistic and his never mentioning the racist roots of which areas get saddled with the most environmental degradation to be a big miss. Like many engineers he focuses entirely on the technical problem and ignores the equally interesting complex problem of the social forces that are shaping how we value things. Different books and different authors are going to have different specialities though, which is why I most recommend the two books together. I think that Klein was perhaps too dismissive of our technical solutions and too untrusting of the ability of engineers to empathize and build smart things that actually won't make the world a worse place.<br/><br/>I really enjoyed hearing Nye's perspectives on the many bad and a few good ideas about big technical possibilities for how to help our warming planet.",,,1,,,0,,,,,
21913812,This Changes Everything: Capitalism vs. The Climate,Naomi Klein,"Klein, Naomi",,"=""1451697384""","=""9781451697384""",5,4.16,Simon & Schuster,Hardcover,576,2014,2014,2017/04/12,2017/04/27,,,read,"I had been thinking about reading this book for months, the description sounded interesting and yet, the title was so.... braggy? Something about it was vaguely off putting, plus the book is huge, and I am often a flake when it comes to huge books. They remind me of assigned readings in school and I promised myself a few years ago that I didn't have to read things I thought I ""should"" read, I could go ahead and only read the things that I actually wanted to. So I had to check it out from the library twice before I actually started reading it, but THEN hot damn I couldn't put it down.<br/><br/>There is so much information packed in here, it's a bit of an acronym plunge at times, but so good. I confess that when the audiobook became available from the library I switched to listening while I worked in the garden and found the pairing of climate science research with pulling up hundreds of pounds of English Ivy to be most satisfactory.<br/><br/>Some take aways:<br/> * We can't consume our way to a more sustainable future, producing and buying too much disposable shit is what got us into our current problems. This can be summarized in a tweet: https://twitter.com/amy_vetter/status/845000165538889733<br/> * So many examples large and small of environmental destabilization that isn't getting the media attention it really probably should<br/> * Some people really hated on her analogy about the earth having a miscarriage (read the book, it makes sense in context), but I loved it.<br/> * Respect for indigenous people and supporting their rights to the land could be what saves the land for all of us",,,1,,,0,,,,,
29771103,"Biting the Hands that Feed Us: How Fewer, Smarter Laws Would Make Our Food System More Sustainable",Baylen J. Linnekin,"Linnekin, Baylen J.",,"=""1610916751""","=""9781610916752""",4,4.05,Island Press,Hardcover,280,2016,,2017/04/14,2017/04/27,,,read,"Well researched and easy to read. I didn't agree with all of the authors conclusions, but I appreciated the way that he presented them - as in ""here are some ideas and suggestions"", rather than ""here is the absolute solution and anything else is stupid"".<br/><br/>Highly recommend to people who are interested in knowing more about the food system and how we can go about getting fresh healthy food for all people in the country.",,,1,,,0,,,,,
29405093,The Girl with the Lower Back Tattoo,Amy Schumer,"Schumer, Amy",,"=""1501139886""","=""9781501139888""",4,3.78,Gallery Books,Hardcover,323,2016,2016,2017/04/29,2017/04/27,,,read,"I really enjoyed listing to Amy Schumer read the audiobook version of this, I think author read audiobooks are absolutely the way to go when comedians write about themselves. I knew from a little prior exposure that her brand of humor isn't my favorite but I was curious about the person behind the never ending vagina jokes and she doesn't disappoint.<br/><br/>The world is extremely harsh toward women, especially women who are trying to make something of themselves in a male dominated field, especially especially when said women give zero fucks about what everybody else thinks of them and they aren't endlessly kind and pretty. When she talked about the pressure of having to ""speak for all women"" with every little thing she did I could relate. That pressure is real and it sucks. I'm glad that she is out there being herself and I hope that more of the world will warm up to the idea that women can come is just as many diverse packages as men, and that a woman doing her thing is not trying to redefine what women are, she is just trying to be herself.<br/>",,,1,,,0,,,,,
9361377,How Should a Person Be?,Sheila Heti,"Heti, Sheila",,"=""0887842402""","=""9780887842405""",0,3.19,House of Anansi Press,Hardcover,306,2010,2010,2017/04/25,2017/04/27,,,read,"This was an opportunistic book, it had been set at a display angle in the library and caught my eye, and I figured ""why not?"". My reading is heavily non-fiction these days, and I figured a lifetime network meets buzzfeed style millennial memoir would be a fun way to shake things up.<br/><br/>Parts of this book were annoying, there were dozens of pages of email exchanges, the contents of which were generally boring banter about soup or sex. These parts I skimmed. There were other parts that were really insightful though, so insightful that I thought maybe they were an accident, or maybe the author is a legit genius. The story about the spider and boundaries made me laugh out loud. <br/><br/>Overall I can't think of a single person I would recommend this to, and yet I don't regret having read it. It was a pleasant way to spend an evening of reading, but it lacked substance and aside from the spider story there isn't much I remember only a few days later. This book doesn't ask much of the reader, it doesn't ask you to think or to empathize or to interpret, which is usually what I want from my stories.",,,1,,,0,,,,,
14761587,How Should a Person Be? A Novel From Life,Sheila Heti,"Heti, Sheila",,"=""1770892486""","=""9781770892484""",3,3.19,House of Anansi,Paperback,306,2012,2010,,2017/04/27,,,read,,,,1,,,0,,,,,
26067678,The Queue,Basma Abdel Aziz,"Aziz, Basma Abdel",Elisabeth Jaquette,"=""1612195164""","=""9781612195162""",5,3.58,Melville House,Paperback,224,2016,2012,2017/04/24,2017/04/27,,,read,"I haven't read a book this fast since the last Harry Potter came out, I really couldn't put it down, even though I thought I probably should just to give myself time to absorb it properly. It's a look into a surreal (but all too familiar and real feeling) dystopian future inspired by the authors experience of growing up in Egypt.<br/><br/>If you do read the book there is a lovely interview with the woman who translated it to English that is a must read (but only after reading the book - it has tons of spoilers). It was fascinating to hear about the challenges she faced in translating specific Arabic phrases into something that would carry the same meaning in English. https://thenewinquiry.com/let-loose-your-tongue/",,,1,,,0,,,,,
