Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
26514673,The Story of My Teeth,Valeria Luiselli,"Luiselli, Valeria","Christina MacSweeney, Armando Durán, Thom Rivera","=""""","=""9781504664523""",2,3.44,Blackstone Audio,Audiobook,4,2015,2013,2017/09/20,2017/09/23,,,read,"This was interesting, but ultimately just a bit too odd for me to say more than ""it was ok"". I definitely wouldn't read it again, I almost didn't even finish, and I can't think of anybody I'd recommend it to. And yet there were moments that were really nice and those kept me going, but there just weren't enough of them.<br/><br/>I'm sure that some people will like this book a lot, just wasn't for me. I do intend to look up other things by this author though.<br/><br/>Some quote that I particularly liked:<br/>* ""By means of my hyperbolics, I could restore an objects value through an elegant surpassing of the truth.""<br/>* ""crabs in the bucket"" (new saying, I'd never heard it before)<br/>",,,1,,,0,,,,,
299215,The Road to Serfdom,Friedrich A. Hayek,"Hayek, Friedrich A.",,"=""0226320618""","=""9780226320618""",0,4.18,University Of Chicago Press,Paperback,274,1994,1944,,2017/09/20,to-read,to-read (#87),to-read,,,,0,,,0,,,,,
530878,Mean Spirit,Linda Hogan,"Hogan, Linda",,"=""0804108633""","=""9780804108638""",0,3.94,Ivy Books,Paperback,384,1991,1990,,2017/09/20,to-read,to-read (#86),to-read,,,,0,,,0,,,,,
32445729,Play Like a Girl: How a Soccer School in Kenya's Slums Started a Revolution,Ellie Roscher,"Roscher, Ellie",,"=""1632280574""","=""9781632280572""",4,4.20,Viva Editions,Paperback,,2017,,2017/09/11,2017/09/20,,,read,"Such an incredible story! It was a real pleasure to read through this book and get the insider's look of what building change looks like. Too often stories of aid are written by outsiders and people receiving the help are not given the credit they deserve.<br/><br/>It was pretty heart breaking to hear about all of the organizations that tried to just airdrop help on them, or the crooked partners who took the money and ran. But most of the cast here are courageous and creative people who are learning to thrive in an unlikely place.",,,1,,,0,,,,,
2050213,The Appointment,Herta Müller,"Müller, Herta","Michael Hulse, Philip Boehm","=""080506012X""","=""9780805060126""",4,3.41,Metropolitan Books,Hardcover,208,2001,1997,2017/09/24,2017/09/20,,,read,"This was really good, by far one of the best books I've read in translation. The tone it creates is this surveillance state level of tense, violent, absurdity. Then she'll just be funny, like actually tell a joke, but the setting is so stark and terrible that I felt like I shouldn't laugh - and I think that is exactly what she was trying to capture. What it feels like when your whole life has been taken over by an angry centralized authority.<br/><br/>The writing is lyrical and gorgeous, the dialogue is so smooth. With translation this good it makes me really curious what the experience would of been to read in her native language. I'll definitely be looking into more things by this author and the translators.<br/><br/><blockquote><br/>Are you really all right.<br/>Yes, how about you.<br/>How about me, my nose is still in the center of my face isn't it.<br/></blockquote><br/>",,,1,,,0,,,,,
31189192,Null States,Malka Ann Older,"Older, Malka Ann",,"=""""","=""""",0,4.08,Tor.com,ebook,432,2017,2017,,2017/09/20,to-read,to-read (#85),to-read,,,,0,,,0,,,,,
33917107,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,"Snyder, Timothy",,"=""0804190119""","=""9780804190114""",0,4.32,Tim Duggan Books,Paperback,128,2017,2017,,2017/09/18,to-read,to-read (#84),to-read,,,,0,,,0,,,,,
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",0,4.02,Knopf,Hardcover,336,2014,2014,,2017/09/18,to-read,to-read (#83),to-read,,,,0,,,0,,,,,
29972029,"Bitch Planet, Vol. 2: President Bitch",Kelly Sue DeConnick,"DeConnick, Kelly Sue","Taki Soma, Valentine De Landro","=""1632157179""","=""9781632157171""",0,4.37,Image Comics,Paperback,144,2017,2017,,2017/09/18,to-read,to-read (#82),to-read,,,,0,,,0,,,,,
25739154,Five Dollars and a Pork Chop Sandwich: Vote Buying and the Corruption of Democracy,Mary Frances Berry,"Berry, Mary Frances",,"=""0807076406""","=""9780807076408""",0,3.74,Beacon Press,Hardcover,192,2016,2016,,2017/09/18,to-read,to-read (#81),to-read,,,,0,,,0,,,,,
17251093,The Casual Vacancy,J.K. Rowling,"Rowling, J.K.",,"=""0316228583""","=""9780316228589""",5,3.28,Back Bay Books,Paperback,503,2013,2012,2017/09/04,2017/09/18,,,read,"J.K. beast mode Rowling wrote a non-magical novel for adults! Well she wrote it back in 2012, I'm just late to the party &#x1f601;. It's a damn good engaging story, which is reason enough to read and enjoy it, but it's also a peek into small town life and large scale social injustice.",,,1,,,0,,,,,
23546843,"Ms. Marvel, Vol. 3: Crushed",G. Willow Wilson,"Wilson, G. Willow","Takeshi Miyazawa, Elmo Bondoc","=""0785192271""","=""9780785192275""",5,4.21,Marvel Comics,Paperback,112,2015,2015,2017/09/18,2017/09/18,,,read,,,,1,,,0,,,,,
23017947,"Ms. Marvel, Vol. 2: Generation Why",G. Willow Wilson,"Wilson, G. Willow","Adrian Alphona, Jacob Wyatt","=""0785190228""","=""9780785190226""",5,4.14,Marvel,Paperback,136,2015,2015,2017/09/17,2017/09/18,,,read,,,,1,,,0,,,,,
20898019,"Ms. Marvel, Vol. 1: No Normal",G. Willow Wilson,"Wilson, G. Willow",Adrian Alphona,"=""078519021X""","=""9780785190219""",5,4.13,Marvel,Paperback,120,2014,2014,2017/09/17,2017/09/18,,,read,,,,1,,,0,,,,,
